Sample Date,Address,1st Draw,2/3 Min,5 Min,Max,PIN,Property Class,Neighborhood Code,Land Square Feet,Town Code,Type of Residence,Apartments,Wall Material,Roof Material,Rooms,Bedrooms,Basement,Basement Finish,Construction Quality,Renovation,Site Desireability,Garage 1 Size,Garage 1 Material,Porch,Other Improvements,Building Square Feet,Repair Condition,Multi Code,Number of Commercial Units,Prior Tax Year Market Value Estimate (Land),Prior Tax Year Market Value Estimate (Building),Longitude,Latitude,Total Building Square Feet,Multi Property Indicator,Age,Use,Multi-Family Indicator,"Condition, Desirability and Utility",Near Major Road,Location Factor,Garage indicator,Neigborhood Code (mapping),Town and Neighborhood,property_city,property_zip,longitude,latitude,township,township_name,nbhd,tract_geoid,tract_pop,tract_white_perc,commissioner_dist,reps_dist,senate_dist,ward,school_elem_district
1/23/2020,61XX W PETERSON AVE,,,,,13053040040000.0,203.0,410.0,3750.0,71.0,1.0,0.0,1.0,1.0,4.0,2.0,2.0,3.0,2.0,,2.0,1.0,1.0,3.0,0.0,1010.0,2.0,2.0,0.0,60000.0,275970.0,-87.7822333115729,41.9899093614557,,0.0,92.0,1.0,,,0.0,1.17219978997356,1.0,410.0,71410.0,CHICAGO,60646-4601,-87.78223331157284,41.98990936145837,71.0,Jefferson,410.0,17031100100.0,5563.0,0.809635088980766,10th,19.0,10.0,45.0,HITCH
6/30/2018,27XX N LINCOLN AVE,0.5,0.5,0.5,0.5,14294010501002.0,299.0,93.0,6250.0,73.0,,,,,,,,,,,,,,3.0,,,,,,76990.0,452650.0,-87.6572359091106,41.9311493279652,,0.0,19.0,1.0,,GD,1.0,2.40119459854505,,93.0,7393.0,CHICAGO,60614-1582,-87.65723590911057,41.93114932796788,73.0,Lake View,93.0,17031070400.0,3237.0,0.786530738337967,12th,11.0,6.0,43.0,AGASSIZ
11/18/2019,36XX N FRANCISCO AVE,1.1,2.1,0.5,2.1,13241290310000.0,205.0,82.0,3125.0,71.0,2.0,0.0,1.0,1.0,7.0,3.0,2.0,3.0,2.0,,2.0,1.0,1.0,3.0,0.0,1432.0,2.0,2.0,0.0,68750.0,389790.0,-87.7008660758161,41.9473937783274,,0.0,117.0,2.0,,,0.0,1.92449060497227,1.0,82.0,7182.0,CHICAGO,60618-4609,-87.70086607581605,41.94739377833005,71.0,Jefferson,82.0,17031160700.0,6191.0,0.435470844774673,12th,40.0,20.0,33.0,CLEVELAND
3/24/2024,12XX E 93RD ST ,0.6,1,0.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2022,111XX S TALMAN AVE,,,,,24242030370000.0,205.0,423.0,3968.0,72.0,2.0,0.0,2.0,1.0,5.0,2.0,1.0,3.0,2.0,,2.0,3.0,1.0,3.0,0.0,1072.0,2.0,2.0,0.0,37690.0,173950.0,-87.6869045163608,41.690248919198,,0.0,71.0,1.0,,,0.0,0.615016726964519,1.0,423.0,72423.0,CHICAGO,60655-1927,-87.6869045163608,41.69024891920048,72.0,Lake,423.0,17031750400.0,3032.0,0.610158311345646,11th,35.0,18.0,19.0,CLISSOLD
10/13/2021,47XX N ROCKWELL ST,0.5,0.5,0.5,0.5,13132040371001.0,299.0,110.0,3750.0,71.0,,,,,,,,,,,,,,3.0,,,,,,31840.0,385110.0,-87.6933990255637,41.9670670154453,,0.0,19.0,1.0,,,0.0,1.72571545590814,,110.0,71110.0,CHICAGO,60625-2934,-87.69339902556362,41.967067015448,71.0,Jefferson,110.0,17031040700.0,3440.0,0.72296511627907,12th,13.0,7.0,40.0,WATERS
11/5/2021,22XX W GIDDINGS ST ,2.9,3.1,3.4,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2017,5XX W BELMONT AVE,0.5,0.5,0.5,0.5,14281020261001.0,299.0,62.0,3932.0,73.0,,,,,,,,,,,,,,3.0,,,,,,35520.0,537170.0,-87.6434107569004,41.9398960640882,,0.0,125.0,1.0,,,0.0,1.64586079316401,,62.0,7362.0,CHICAGO,60657-4616,-87.64341075690032,41.93989606409086,73.0,Lake View,62.0,17031063200.0,6897.0,0.852254603450776,10th,12.0,6.0,44.0,NETTELHORST
2/16/2019,60XX N ARTESIAN AVE,5.0,6.1,1.6,6.1,13012300700000.0,203.0,41.0,3939.0,71.0,1.0,0.0,2.0,1.0,5.0,3.0,1.0,1.0,2.0,,2.0,0.0,0.0,3.0,0.0,1130.0,2.0,2.0,0.0,70900.0,200460.0,-87.6912812255357,41.9920376089355,,0.0,66.0,1.0,,,0.0,1.19434871552024,0.0,41.0,7141.0,CHICAGO,60659-4121,-87.69128122553568,41.992037608938176,71.0,Jefferson,41.0,17031020802.0,7952.0,0.275528169014084,10th,13.0,7.0,40.0,CLINTON
8/16/2019,33XX N OAK PARK AVE,1.6,2.8,2.3,2.8,13194160020000.0,203.0,140.0,4375.0,71.0,5.0,0.0,2.0,1.0,8.0,5.0,1.0,1.0,2.0,,2.0,3.0,1.0,3.0,0.0,1771.0,2.0,2.0,0.0,63430.0,265500.0,-87.795478571223,41.941576392375,,0.0,88.0,1.0,,,0.0,1.23053954893938,1.0,140.0,71140.0,CHICAGO,60634-3759,-87.79547857122294,41.94157639237768,71.0,Jefferson,140.0,17031171000.0,7328.0,0.599754366812227,1st,3.0,2.0,36.0,BRIDGE
1/25/2022,21XX W ERIE ST,,,,,17071150070000.0,278.0,120.0,2952.0,77.0,2.0,0.0,2.0,1.0,10.0,4.0,1.0,1.0,2.0,,2.0,0.0,0.0,3.0,0.0,2554.0,2.0,2.0,0.0,100360.0,797090.0,-87.6811723650953,41.8928459275172,,0.0,13.0,1.0,,,0.0,1.86308015198616,0.0,120.0,77120.0,CHICAGO,60612-1319,-87.68117236509525,41.89284592751981,77.0,West Chicago,120.0,17031243000.0,2274.0,0.558487247141601,1st,4.0,2.0,26.0,MITCHELL
1/5/2022,27XX W FARWELL AVE,2.1,13,1.2,13.0,10362270090000.0,203.0,23.0,3960.0,75.0,1.0,0.0,4.0,5.0,6.0,3.0,1.0,1.0,2.0,,2.0,3.0,1.0,1.0,0.0,1173.0,2.0,2.0,0.0,57420.0,305710.0,-87.6988069904104,42.0055147042776,,0.0,94.0,1.0,,,0.0,1.06274371383556,1.0,23.0,7523.0,CHICAGO,60645-4514,-87.69880699041035,42.00551470428032,75.0,Rogers Park,23.0,17031020302.0,5348.0,0.557030665669409,13th,16.0,8.0,50.0,BOONE
10/2/2018,23XX W MOFFAT ST,8.6,4.6,4.5,8.6,14313100100000.0,202.0,170.0,2400.0,77.0,1.0,0.0,2.0,1.0,5.0,2.0,1.0,3.0,2.0,,2.0,3.0,1.0,3.0,0.0,880.0,2.0,2.0,0.0,109200.0,404150.0,-87.6862747861816,41.9145121133304,,0.0,125.0,1.0,,,0.0,2.20622236110497,1.0,170.0,77170.0,CHICAGO,60647-5334,-87.6862747861816,41.91451211333299,77.0,West Chicago,170.0,17031222200.0,2226.0,0.712938005390836,12th,10.0,5.0,32.0,PULASKI
1/17/2021,58XX N MERRIMAC AVE,2.7,5.8,0.5,5.8,13053120190000.0,211.0,410.0,3720.0,71.0,5.0,2.0,3.0,1.0,9.0,4.0,1.0,1.0,2.0,,2.0,3.0,1.0,3.0,0.0,2225.0,2.0,2.0,0.0,59520.0,286560.0,-87.7836730859037,41.9868167726497,,0.0,65.0,2.0,211.0,,0.0,1.19051963114603,1.0,410.0,71410.0,CHICAGO,60646-5324,-87.78367308590364,41.98681677265235,71.0,Jefferson,410.0,17031100100.0,5563.0,0.809635088980766,10th,19.0,10.0,45.0,HITCH
9/25/2019,41XX S WALLACE ST,3.0,7.4,3.0,7.4,20041210090000.0,234.0,52.0,3125.0,72.0,4.0,0.0,1.0,1.0,4.0,2.0,3.0,1.0,2.0,,2.0,0.0,0.0,3.0,0.0,1005.0,2.0,2.0,0.0,31250.0,193740.0,-87.6405728616712,41.8183226869871,,0.0,45.0,1.0,,,0.0,0.69947004309987,0.0,52.0,7252.0,CHICAGO,60609-2737,-87.64057286167119,41.81832268698967,72.0,Lake,52.0,17031842600.0,4125.0,0.523636363636364,11th,6.0,3.0,11.0,HENDRICKS
