Date Sampled,Address,1st Draw,2nd Draw,3rd Draw,4th Draw,5th Draw,6th Draw,7th Draw,8th Draw,9th Draw,10th Draw
2/24/2022,41XX N KILBOURN AVE,7.90,14.00,14.00,13.00,9.90,8.40,6.10,4.50,3.30,2.90
8/10/2021,51XX S MOODY AVE,7.90,15.00,9.30,8.90,10.00,13.00,14.00,18.00,19.00,20.00
8/31/2021,53XX S DREXEL AVE,7.90,8.60,9.20,9.00,8.60,8.20,8.30,8.40,8.80,9.20
9/13/2022,59XX W EASTWOOD AVE**,7.90,11.00,5.10,6.70,10.00,50.00,35.00,18.00,12.00,8.00
3/3/2023,107XX S EBERHART AVE,7.89,6.85,6.66,6.12,5.84,11.20,12.80,10.50,9.06,8.42
10/18/2023,26XX N RACINE AVE,7.89,17.00,20.80,21.10,20.60,18.80,18.20,17.70,15.90,14.60
3/4/2017,67XX N LOLETA AVE,7.88,8.87,9.69,10.60,11.20,12.40,12.90,15.00,19.00,20.20
10/22/2019,48XX S KIMBARK ,7.87,7.56,11.80,11.60,11.60,11.90,11.30,11.00,12.20,12.20
3/28/2022,77XX S HOYNE AVE,7.87,11.40,8.54,7.42,8.88,14.50,16.90,16.10,15.80,13.80
10/13/2016,18XX N DAYTON ST******,7.86,6.74,9.33,9.73,10.30,10.80,15.50,22.70,22.00,22.60
10/13/2019,18XX N DAYTON ST******,7.86,6.74,9.33,9.73,10.30,10.80,15.50,22.70,22.00,22.60
4/23/2019,68XX N LORON ,7.86,8.48,8.62,8.70,9.52,9.40,10.00,10.30,11.00,11.20
11/8/2021,16XX N NORMANDY AVE,7.85,13.60,20.30,13.60,15.70,11.30,11.30,10.50,9.71,10.00
11/17/2020,29XX N LUNA AVE,7.85,10.60,10.80,9.79,12.00,17.10,21.80,18.60,15.50,14.10
7/29/2019,55XX N SAWYER ,7.85,8.34,8.89,9.15,10.20,11.30,11.50,12.10,12.70,12.20
10/12/2021,37XX W 54TH ST,7.84,6.44,5.92,7.86,10.40,13.80,16.20,17.10,20.00,20.70
9/28/2020,115XX S SANGAMON ST,7.83,4.22,4.23,4.01,4.04,4.02,3.72,3.66,3.84,3.54
7/2/2019,49XX N CENTRAL PARK ,7.83,3.57,8.64,11.00,10.60,9.52,8.75,9.12,9.82,12.60
8/24/2019,89XX S EGGLESTON ,7.83,9.68,17.20,18.70,18.10,16.50,14.00,13.60,14.10,15.40
8/29/2019,103XX S PEORIA ,7.82,2.89,1.69,1.17,1.17,1.14,1.33,1.48,1.47,1.86
3/30/2017,13XX E 87TH ST,7.82,9.18,11.50,12.70,11.30,12.00,15.60,25.60,31.10,28.00
10/18/2021,67XX N WHIPPLE ST**,7.82,9.04,13.30,16.20,17.10,18.00,17.30,17.70,21.70,23.20
7/1/2016,58XX N OVERHILL AVE**,7.81,8.43,8.39,7.40,8.12,7.49,7.36,21.10,29.70,23.60
8/2/2019,132XX S AVENUE N ,7.80,7.61,16.90,32.80,25.80,24.40,24.70,22.90,24.70,30.60
9/28/2021,14XX N KOLIN AVE,7.80,11.00,10.00,8.30,8.00,6.70,5.80,5.60,5.30,5.30
9/16/2019,14XX N LOREL AVE,7.80,9.15,8.77,9.34,8.83,8.59,11.20,14.70,15.00,15.20
9/3/2021,56XX S THROOP AVE,7.80,6.80,3.30,3.70,5.40,4.80,4.90,8.90,14.00,15.00
5/31/2023,80XX S ESSEX AVE,7.80,12.60,15.80,15.00,14.80,14.40,13.90,13.20,12.30,12.10
6/22/2021,88XX S ELIZABETH ST,7.80,6.60,9.10,18.00,10.00,14.00,15.00,14.00,14.00,13.00
7/20/2021,91XX S NORMAL AVE,7.80,12.00,32.00,60.00,45.00,40.00,38.00,35.00,34.00,32.00
10/7/2016,92XX S HAMILTON AVE,7.80,11.80,12.50,12.10,11.30,16.60,34.10,37.50,34.60,34.60
9/15/2021,99XX S CHARLES ST,7.80,6.50,5.90,5.70,5.70,6.00,6.80,8.00,8.40,8.30
11/20/2023,110XX S STATE LINE RD,7.79,7.60,8.39,14.90,25.20,26.80,27.60,26.80,22.30,16.20
12/3/2019,52XX N BERNARD ST,7.79,8.96,12.30,14.70,16.90,19.40,19.90,24.70,30.60,32.10
7/22/2019,63XX N OAK PARK ,7.76,9.13,11.00,10.90,13.00,16.50,22.60,26.70,23.50,23.80
8/22/2016,99XX S PROSPECT AVE,7.76,10.80,10.10,7.81,7.80,10.30,15.00,16.20,15.90,15.40
